[1 - CDP.pdf] CDP: True, Deletion: False, Meso/Micro: False, Cohesive: False
[10 - s2.0-S1877705816344484-main.pdf] CDP: False, Deletion: True, Meso/Micro: False, Cohesive: False
[11 - 1275-ACE-FULLPAPER-ConstitutiveModelingofUnreinforcedMasonryWallswithandwithoutOpenings.pdf] CDP: True, Deletion: False, Meso/Micro: True, Cohesive: False
[12 - 1434-F1-Tahat.pdf] CDP: True, Deletion: False, Meso/Micro: False, Cohesive: False
[13 - 75937-Artikkelinteksti-123761-2-10-20190815.pdf] CDP: True, Deletion: True, Meso/Micro: False, Cohesive: False
[14 - 79723-Artikkelinteksti-162808-1-10-20200704.pdf] CDP: True, Deletion: True, Meso/Micro: False, Cohesive: False
[15 - A_new_method_for_CDP_input_parameter_identificatio.pdf] CDP: True, Deletion: False, Meso/Micro: False, Cohesive: False
[16 - Analyzing_seismic_behavior_and_micro-modeling_of_m.pdf] CDP: False, Deletion: False, Meso/Micro: True, Cohesive: False
[17 - article2.pdf] CDP: True, Deletion: False, Meso/Micro: True, Cohesive: False
[18 - COMPDYN_2023_FullPaper_Krtinic.pdf] CDP: True, Deletion: False, Meso/Micro: True, Cohesive: False
[19 - Damage_Prediction_of_Monolithic_and_Non-Monolithic.pdf] CDP: True, Deletion: False, Meso/Micro: False, Cohesive: False
[2 - dot_962_DS1.pdf] CDP: False, Deletion: False, Meso/Micro: False, Cohesive: False
[20 - Effect_of_cross_walls_on_the_interaction_curves_of.pdf] CDP: True, Deletion: False, Meso/Micro: True, Cohesive: False
[21 - Experimental_Study_and_FEM_Analysis_on_the_Strengt.pdf] CDP: False, Deletion: False, Meso/Micro: True, Cohesive: False
[22 - Hailemariam__Wuttke_DACH_2023_Part1.pdf] CDP: False, Deletion: False, Meso/Micro: True, Cohesive: False
[23 - Hailemariam__Wuttke_DACH_2023_Part2.pdf] CDP: False, Deletion: False, Meso/Micro: False, Cohesive: False
[24 - HomogenisedContinuumModelforStructuralAnalysisofUnreinforcedAlternativeMasonryWalls.pdf] CDP: False, Deletion: False, Meso/Micro: False, Cohesive: False
[25 - Simulation_and_validation_of_masonry_infill_wall_b.pdf] CDP: False, Deletion: False, Meso/Micro: True, Cohesive: False
[26 - Structuralperformanceevaluationofanagedstructureusingamodifiedplasticitymodelininversesolutionmethod.pdf] CDP: True, Deletion: False, Meso/Micro: False, Cohesive: False
[27 - Study_on_the_mechanical_characteristics_and_impact.pdf] CDP: False, Deletion: False, Meso/Micro: False, Cohesive: False
[28 - v1_covered_7ca32b93-6050-4379-83b3-5a86e04a103e.pdf] CDP: True, Deletion: False, Meso/Micro: False, Cohesive: False
[3 - SimplifiedDamagePlasticityModelforConcrete-StructuralEngineeringInternational.pdf] CDP: True, Deletion: False, Meso/Micro: False, Cohesive: False
[4 - A physically motivated element deletion criterion for the concrete damage.pdf] CDP: True, Deletion: True, Meso/Micro: False, Cohesive: False
[5 - 79723-Artikkelinteksti-162808-1-10-20200704.pdf] CDP: True, Deletion: True, Meso/Micro: False, Cohesive: False
[6 - s2.0-S0167844214001141-main.pdf] CDP: False, Deletion: False, Meso/Micro: False, Cohesive: False
[7 - s2.0-S0263822315000690-main.pdf] CDP: False, Deletion: False, Meso/Micro: False, Cohesive: True
[8 - s2.0-S1359836813004381-main.pdf] CDP: False, Deletion: True, Meso/Micro: False, Cohesive: True
[9 - s2.0-S1877705816001958-main.pdf] CDP: False, Deletion: False, Meso/Micro: False, Cohesive: False
